"sim:O->X"	"sim:X->O"	"sim:OX|XO"	"sim:X"	"fit:O->X"	"fit:X->O"	"fit:OX|XO"	"fit:X"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.05	0.05	1	0.5	0.0513	0.0477	1.0213	0.3604	2	6	2	"root"	-21812.5272	0
0.05	0.05	1	0.5	0.0513	0.0478	1.0204	0.3627	1	5	3	"root"	-32710.057	0
0.05	0.05	1	0.5	0.0514	0.0477	1.0201	0.3593	1	4	2	"root"	-21812.8851	0
0.05	0.05	1	0.5	0.0516	0.0476	1.0178	0.3484	1	3	1	"root"	-10915.7882	0
0.05	0.05	1	0.5	0.053	0.0473	1.0581	0.3638	2	6	2	"root"	-21960.1857	0
0.05	0.05	1	0.5	0.053	0.0474	1.0589	0.3668	1	5	3	"root"	-32928.1868	0
0.05	0.05	1	0.5	0.053	0.0474	1.0566	0.3648	1	4	2	"root"	-21960.1345	0
0.05	0.05	1	0.5	0.0531	0.0473	1.0506	0.3597	1	3	1	"root"	-10991.6962	0
0.05	0.05	1	0.5	0.0531	0.0503	1.0135	0.4913	2	6	2	"root"	-22546.3898	0
0.05	0.05	1	0.5	0.0531	0.0503	1.0116	0.4908	1	5	3	"root"	-33809.9917	0
0.05	0.05	1	0.5	0.0531	0.0503	1.0106	0.4901	1	4	2	"root"	-22547.2301	0
0.05	0.05	1	0.5	0.0532	0.0504	1.0081	0.4885	1	3	1	"root"	-11284.3116	0
0.05	0.05	1	0.5	0.047	0.0527	0.9709	0.5934	2	6	2	"root"	-21784.8984	0
0.05	0.05	1	0.5	0.047	0.0527	0.973	0.5954	1	5	3	"root"	-32664.3321	0
0.05	0.05	1	0.5	0.0471	0.0527	0.9692	0.5934	1	4	2	"root"	-21785.1712	0
0.05	0.05	1	0.5	0.0471	0.0527	0.9593	0.589	1	3	1	"root"	-10905.7114	0
0.05	0.05	1	0.5	0.05	0.0476	1.1013	0.5046	2	6	2	"root"	-21467.2446	0
0.05	0.05	1	0.5	0.0499	0.0478	1.1021	0.51	1	5	3	"root"	-32189.2038	0
0.05	0.05	1	0.5	0.05	0.0477	1.1004	0.5052	1	4	2	"root"	-21466.985	0
